names.node_leaves.x..,X.Intercept.,age,sexmale,bmi,children,smokeryes,regionnorthwest,regionsoutheast,regionsouthwest,,,
42419,-4040.93456,295.8469696,-462.5496893,-45.79356695,494.3284589,14032.14618,NA,NA,NA,,,
84838,-5716.177219,317.7503119,NA,NA,NA,NA,NA,NA,NA,,,
84839,39915.78871,642.5150262,1161.238281,-1687.840256,NA,NA,NA,NA,NA,,,
169678,-196559.573,5093.911,NA,NA,NA,NA,NA,NA,NA,,,
169679,659.9819,173.2959,NA,NA,NA,NA,NA,NA,NA,,,
10605,-2807.685574,257.1149932,NA,NA,NA,NA,NA,NA,NA,,,
5303,834.95209,371.6514291,562.534444,-273.4936278,NA,NA,NA,NA,NA,,,
10606,-5441.15835,294.0072833,NA,NA,NA,NA,NA,NA,NA,,,
10607,-3815.80705,304.8408429,NA,NA,NA,NA,NA,NA,NA,,,
663,-5524.506898,189.878362,-2774.185687,168.41146,1558.485733,21930.1848,3214.248806,1181.975488,-186.1223914,,,
1326,-11172.94896,490.1311456,2555.458803,-75.16671116,-2354.123119,34286.99461,3072.639896,3083.630439,7756.252935,,,
2652,-9587.207736,420.2672222,3657.529835,-59.22882715,-2417.078296,34185.54701,-1952.338463,3221.561961,10292.05918,,,
5304,-63128.94152,-939.6722394,-39042.90577,5250.260937,-25109.73983,66086.31372,55328.09748,-55406.79139,14599.61172,,,
10608,-6144.434575,189.0695801,-1841.336721,246.1553184,-608.2736357,NA,1959.332101,-2608.448368,16957.84996,,,
21216,-56942.59965,2425.168963,NA,-1684.969368,9912.35065,NA,NA,NA,NA,,,
42433,-406.869439,129.5090322,NA,90.48301451,NA,NA,NA,NA,NA,,,
