"nodename","intercept","age","sexmale","bmi","children","smokeryes","regionnorthwest","regionsoutheast","regionsouthwest","r-squared"
"657",32542.5032180351,2552.76780556225,-90316.5699299303,-2191.70204189742,-24714.6086932338,66038.0587738984,10195.9790192945,NA,NA,1
"329",-17313.3957192516,236.809915114916,-2654.73661670883,567.448979540719,51.0332203284451,20787.8410060189,493.641099088685,-416.594097848786,617.719873747432,0.72850676177102
"658",-16861.1917093357,460.393241439816,-1585.60029163272,62.0467638301164,2065.02861715421,24858.5180213308,3398.67738725756,8560.3915370667,8732.03171026949,0.887295463430746
"1316",-11806.1616044111,423.324945607731,945.718485550136,62.7414354511757,-454.151071701473,24109.835837461,NA,3201.09916275519,5130.89630496617,0.956698324772551
"2632",-2867.41459632877,1221.24990490421,-4158.0899189652,-858.246178675196,4777.93922162372,18262.5501553572,NA,10137.4007767632,-1295.07392029687,0.99361726663602
"1317",-1332.13932280631,383.159630393618,802.649158375486,-365.757387610944,2717.90452281128,18100.5168195698,1186.60978682486,5990.83825640684,13377.0560035772,0.782797408459097
"2635",4970.81465231578,401.728916262766,11.3242230051168,-571.689277940649,2917.36025768604,17689.4814187194,828.949824815847,8418.35600972546,12967.0933513893,0.773786552451861
"5270",-404.59364051526,267.827901915393,363.188461990599,-89.2747619861746,274.773467725215,14566.9693642641,-1056.74808065831,-598.216672223856,24070.5702391755,0.999951628328363
"10540",-818.799132799947,263.190858369302,602.834990858703,-76.1613156307454,201.324106534999,14539.660580416,-981.6079647375,-787.359445697773,24448.9120898911,0.999999853252706
"21080",-631.54854437872,263.209473372781,588.433562130184,-81.5591124260351,209.438686390532,14506.0454911243,-1008.95074556213,NA,24432.1773850296,1
"659",-12541.4126328111,82.0040151380675,-3112.97041650752,679.704992429196,97.6994461522192,18619.1358515779,125.386246145769,-3047.75344928561,-4911.10200700163,0.760918234242827
"1319",-14134.0128194794,61.8146633260146,-3099.52470183143,737.148195893914,1034.9877888341,20164.6062466266,-904.603904818831,-3160.23694880255,-5969.64459310955,0.771152938267373
"2638",-13607.7057377239,68.3217412609234,-1547.0095236516,704.965442651201,2232.40708185382,20827.6238399129,-4845.85397407206,-3835.74607721892,-8176.38709302732,0.76431126571352
"5276",-1787.24539800777,-3.72731041369332,-2431.56275402797,520.002173141277,2446.18552138469,21966.3953232147,-8451.2723992253,-8075.09856725092,-11300.5167367418,0.825211667364323
"10553",-14156.4357528863,95.9054556057784,-1146.42823380927,806.442279238338,2145.56870851784,22994.4979514496,-11749.638269827,-7789.22788617067,-13086.6557104314,0.858967535143264
"21106",21466.7800550755,216.021300215982,-10515.0434438445,-358.879546436283,-549.839153347722,18856.8954762419,NA,-12561.3604784017,NA,1
"21107",135673.474546897,361.957953759401,-60775.8191660287,-5440.99410936432,-61991.381921227,-30826.8673799385,124574.389936863,102867.362572666,113738.578484754,1
"42214",-17081.0289389905,147.431546392143,-11356.7358688811,799.774104955825,-10083.2145198498,22239.1648424525,-2499.35234709742,NA,NA,1
"165",-15660.0321327077,303.96481955084,1548.44484993438,325.436955145507,510.981286455253,23650.8282949794,2113.53338733762,-469.077942722014,70.8477600739983,0.773632173901438
"331",-14743.9580755715,295.911147771251,1398.19417364315,314.879731873136,485.005492942592,24007.9220148009,1851.00717353498,-676.4465196033,-115.834540346906,0.776684771162098
"662",-13106.9487390207,317.853634226071,849.36129491073,300.905226018883,9.67883268214259,21102.4367559281,-689.892350660155,-1678.42107341133,-1587.70773111596,0.78974802533935
"1325",-13521.8597151282,315.81763468761,1202.04147922988,300.423814142302,296.152494079566,22325.6460911338,-901.811465227094,-1206.55765422477,-1480.02060439191,0.796413859545554
"2650",-12962.4878906245,337.581936178414,588.898955409779,220.058875380689,1407.79916686434,25096.0977262124,-2173.5908883173,906.60345775748,-2139.99039101269,0.867556555923858
"5300",-8088.81977901233,295.565477944032,-960.196436539632,90.1287576937703,1282.03436664912,33564.6225533722,-138.308703196349,2525.79352409057,-135.581921473123,0.910133995472319
"10600",-10715.4022111114,329.316609099425,-477.318953873532,136.912651984439,1622.67374128256,32323.9528367861,-637.84473056193,1785.40093781314,-1419.09607152015,0.910800325404178
"21200",-3517.34701274778,265.297606934147,-584.848248433251,-3.60860913301475,290.191722910356,NA,686.394533870905,127.826159242114,593.131473171264,0.991790005316278
"2651",-11943.0179190311,226.281883070404,2874.69790832147,366.740511534777,-1201.81136473058,21631.8105892757,603.16454926617,-4010.01910282431,237.038200083951,0.834783485169166
"5302",-12413.8737306953,109.514205810272,3098.80306027244,474.003676045523,-1664.08778539999,19724.5393171964,5439.27977509461,-399.371726017551,2924.4815996544,0.858247995072834
"10604",-12324.9359163809,117.634136766205,3532.01942388412,462.444006651365,-1606.12233006268,19957.0117762929,5233.18904987569,-1324.9050301673,2430.39465764712,0.856204466471836
"21208",-2360.02761761832,-70.0789551925436,18115.4231065668,167.234909731297,-13652.226804014,14568.2603100876,12559.7167117881,NA,NA,1
"21209",-5212.28082785897,211.180529617373,-218.064926960948,153.350808700707,-108.435609896087,32298.7120601142,69.5200395280072,-19409.3291777967,245.764564126334,0.999813363207971
"663",-17035.2650385772,279.014493808306,2408.34734134503,347.235584179525,644.374846811958,25941.7058627937,4958.53259124505,24.5625215747592,830.795024189435,0.789310148239759
"1326",-24628.1155125098,471.011062004892,7391.54014616739,206.832213079466,1009.03016220843,25386.0788042748,9208.64467675122,1630.64925331765,-5269.02830454201,0.852571756029378
"2652",-27441.2992939916,499.22731314934,9543.56011007433,275.91177984754,1523.19614434492,23966.8611681716,7077.5199355578,230.197006677992,-8698.41527231304,0.86375018510607
"5304",-29178.6466619958,667.7544886903,-5608.06991390702,122.942649748905,3958.27478463928,18598.7240322469,25855.6030019239,21886.9478982149,NA,0.939570300110369
"10608",-6583.47399864649,687.488333201354,NA,-125.510941852928,5094.70811426995,18260.7923660368,NA,1111.30649616058,-24468.7053000483,0.960136123566359
"5305",-14067.1388639403,463.602380334022,1290.92711774549,-138.221865483325,667.173925126819,23174.7590374125,7039.47573724189,7057.63075778154,4004.16406136725,0.941392742586974
"10611",-2248.24546347783,246.446387920723,-950.291368007177,-33.137271487326,543.728533369355,13716.0434000021,-299.671909408046,459.05947692316,NA,1
"1327",-9827.11293507171,207.545870781165,1691.7593430595,263.576291587451,1290.2783252376,23398.2593853729,-445.434029569318,-2397.05316788748,3616.74049355167,0.834967451137201
"2654",-14375.2833748139,252.040163535504,712.824089442325,337.084017377116,2752.50857922232,20976.3372521759,-2356.78620499853,-1720.5966512268,6795.28231591533,0.807102211125025
"5308",-3881.95433133025,-197.909244411199,6460.11795539227,624.557368857071,1001.6246287775,24543.4390983643,-1083.85643430365,-12181.396422357,-1702.52468866184,0.960547468938686
"10616",-24772.3020150478,482.635405511431,854.79447268548,191.391974929126,3380.239841728,38301.9968735693,2026.98257639824,NA,2587.34017317735,0.999609731397013
"21233",-7444947.46085818,221426.626686072,-1047062.2693995,-89574.2175652114,323391.959310412,3245006.38751544,705414.25065169,NA,1403317.42966034,1
"10617",-36494.606177397,102.66661570802,9691.3155474854,1379.51025998227,-508.047441674439,19538.9228887576,NA,-10127.5945615981,NA,1
"2655",675.799138994692,374.759332649293,-1943.68081576536,-370.753868913629,1157.75906189031,32945.5274499608,NA,4194.95770204259,-581.592798483343,0.999610939303247
"83",-10274.0394560069,188.928639621341,238.548448476306,344.118326091732,1258.94680749795,29077.2134010095,918.075561815496,-2614.165382792,-814.899767310539,0.924460657466686
"166",-10260.5842295774,179.38447423439,141.556448293926,369.403391564097,1140.72674466528,29026.0987561994,740.649117513479,-2933.91719332648,-895.429455206681,0.92301363763404
"332",-10117.0258260274,175.708568551302,-31.1520392246826,377.25720427279,1075.34421592536,28631.808887127,659.083009713559,-3186.65276743488,-877.449351779322,0.91042031367975
"664",-9345.01754609891,127.288719357584,916.467229120463,463.095095259929,1043.87445850594,26908.3206804616,688.222466588544,-5647.31616174196,-3417.6813464668,0.885403158081304
"1329",-10216.3634526359,176.714131895439,2970.25546460793,416.785217656743,596.621719216744,26003.4938128965,-2123.92212539909,-4931.66177482157,-4740.09450809362,0.920529586174575
"2659",48810.704887385,-412.790011179386,4434.65881519749,-447.136550215368,-8973.52116530282,3414.08946167037,3109.93505776146,5623.41628457513,-1762.20455600632,0.932651401818717
"5318",34951.0859070544,-33.8682955068321,5405.90953702892,-741.476177743376,-3759.43059508872,16003.6601680754,2693.5893822471,7950.29854826839,-4601.78644225688,0.99970185681331
"10636",68819.9758509202,-916.685036299997,-12699.3064244797,381.571064067795,-25811.4960214152,10465.6834275713,10220.4338990915,-15692.7649713407,NA,1
"665",-5600.74030379812,252.024521439544,-148.533386316095,76.4224536759547,405.650762317476,33932.6245178408,737.572396885761,1082.98620596324,529.717551146213,0.999802258171762
"21",-10306.8108068939,247.699705422603,-203.656827769429,313.197895719831,229.646646978506,24126.159245166,-121.957920057115,-1125.9443206766,-663.770935763912,0.735531273505936
"42",-8455.98327729891,241.448033469607,-128.219825467624,251.291865913076,385.959818350288,24296.2589487978,-669.5309121225,-1177.34164142547,-639.293709025466,0.761970307029766
"84",-8147.60773165011,219.477684699618,-353.297604408727,260.795331863456,375.983687351228,24265.5930517502,-872.96268325383,-512.494142237651,-863.263860191404,0.770677255324966
"168",-8226.22141591736,220.40547959759,-334.025014913533,262.224207233436,369.002813918475,24251.8150425751,-871.073960615692,-480.65305116166,-866.796688540475,0.770075667716669
"336",-9093.19126457432,223.555950255623,-719.924293602807,292.427051713066,427.534557685426,24421.8390678848,-1025.12250586045,-745.565064548036,-799.02464746463,0.777032287965798
"672",-8604.03806313717,224.635355361273,-415.250546181506,279.087689501629,485.408763700183,24602.0781810209,-1624.50197156515,-1110.62428949233,-952.396562093043,0.778128689157351
"1344",6634.33054452138,-48.1391712166329,4181.58883454543,30.0528923292183,4173.13748401262,26887.8014613142,-501.905135219009,-4783.22256705292,-9701.89851440511,1
"1345",-8559.07875366115,226.420032188598,-655.812401793856,283.167331454063,409.693973164153,24363.2167674552,-1833.90823323669,-1073.38448612523,-859.523595369096,0.77630481349191
"2690",-5094.19475852454,265.413294513558,-2562.4164028316,183.744830513732,316.171187062974,25594.495509074,-4011.17613605412,-3132.0441505796,-1032.05470995005,0.811893939808636
"5380",-998.39286767681,295.132629917292,-2739.70696801756,-14.2113608883955,329.03625679479,29326.6192406325,-3180.04614455122,-1121.8859028972,-195.117209025911,0.868154553754144
"10760",3825.8663385135,425.088051351464,-9696.29129125947,-102.67248736913,-758.497095646011,33293.6840028271,-11472.417733515,136.230580042328,-929.146754705675,0.805000264272905
"21521",7740.4269628581,358.088447243257,-11594.3833899346,-27.8002551248544,-1655.07889738628,33718.3182325094,-12994.3623958029,-1005.25554417571,374.620418810617,0.827564121763444
"43042",-20232.2177119436,540.563337144719,-4565.402629237,977.02251671602,-7904.09753917266,32116.5894188357,-18870.0522800942,-13327.4002350636,-1259.82595278992,0.998316443279019
"10761",-1323.87964064773,209.476183932415,-1500.5779651645,26.2331020850812,713.405334962648,30969.7884392322,-496.109085056043,-653.187097507062,-1133.14048027317,0.948893565711918
"21522",24257.2416853457,1000.38312838272,-4798.72961218519,-1634.89302839506,-5876.99809754322,38274.2726349136,-37726.6719080124,NA,NA,1
"21523",30.3982489516363,231.032843524708,-1206.51443013497,-64.7287505252076,629.148249977,32916.3861014194,1061.89700781453,-265.013418965601,-662.240283484065,0.968539686870693
"43046",-568186.49436114,5277.66680162748,151291.247551264,5248.06056910722,77694.690250429,NA,225915.887017952,96185.9066341745,NA,1
"43047",1436.92472516487,216.557777279954,-1838.91505243632,-72.7504950728235,494.886501926993,32624.527241265,1430.95549548408,-273.643991614754,-1085.07294861868,0.971253286293714
